종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
037270,YG PLUS,"1,965","25","1.29","1,975","1,965","149,458","295,308,255","1,950","2,000","1,950","500",원(KRW),"58,170,704","114,305,433,360",
040300,YTN,"2,180","70","3.32","2,180","2,175","51,873","111,630,770","2,130","2,180","2,115","1,000",원(KRW),"42,000,000","91,560,000,000",
051390,YW,"3,840","50","1.32","3,840","3,795","3,585","13,639,350","3,790","3,850","3,775","500",원(KRW),"11,355,368","43,604,613,120",
052220,iMBC,"3,280","20","0.61","3,280","3,270","17,963","58,666,015","3,260","3,295","3,215","500",원(KRW),"23,000,000","75,440,000,000",
079940,가비아,"6,960","-10","0.14","6,970","6,960","196,441","1,372,013,080","6,970","7,130","6,870","500",원(KRW),"13,535,684","94,208,360,640",
078890,가온미디어,"11,200","200","1.82","11,200","11,150","129,651","1,426,589,800","11,200","11,200","10,900","500",원(KRW),"14,395,881","161,233,867,200",
000500,가온전선,"23,200","100","0.43","23,200","23,000","3,792","87,597,850","23,100","23,350","22,950","5,000",원(KRW),"4,160,347","96,520,050,400",
192410,감마누,"6,640","910","15.88","6,650","6,640","9,188,694","62,390,095,670","5,760","7,400","5,760","500",원(KRW),"24,435,800","162,253,712,000",
024840,갑을메탈,"2,600","-40","1.52","2,605","2,600","807,332","2,119,279,790","2,665","2,685","2,595","500",원(KRW),"31,241,496","81,227,889,600",
000860,강남제비스코,"33,600","30","0.00","33,600","33,450","1,882","63,065,500","33,600","33,700","33,400","1,000",원(KRW),"6,500,000","218,400,000,000",
217730,강스템바이오텍,"12,700","300","2.42","12,750","12,700","164,167","2,072,307,200","12,550","12,800","12,400","500",원(KRW),"16,329,484","207,384,446,800",
035250,강원랜드,"29,200","250","0.86","29,200","29,150","448,959","13,098,944,650","29,000","29,400","28,800","500",원(KRW),"213,940,500","6,247,062,600,000",
011420,갤럭시아에스엠,"2,130","-5","0.23","2,135","2,130","236,288","512,133,400","2,145","2,215","2,110","500",원(KRW),"27,549,644","58,680,741,720",
094480,갤럭시아컴즈,"4,905","-75","1.51","4,930","4,905","115,712","567,085,855","4,950","4,995","4,850","500",원(KRW),"34,829,838","170,840,355,390",
063080,게임빌,"74,600","-1,200","1.58","74,700","74,600","157,295","11,790,741,200","75,900","76,200","74,100","500",원(KRW),"6,595,192","492,001,323,200",
039240,경남스틸,"10,650","100","0.95","10,750","10,650","10,658","114,078,300","10,550","10,850","10,550","500",원(KRW),"5,000,000","53,250,000,000",
053950,경남제약,"17,200","30","0.00","0","0","0","0","0","0","0","500",원(KRW),"11,248,376","193,472,067,200",
002100,경농,"6,300","120","1.94","6,310","6,300","133,450","835,320,860","6,200","6,360","6,140","500",원(KRW),"21,691,750","136,658,025,000",
009450,경동나비엔,"61,200","-800","1.29","61,200","61,100","189,053","11,634,318,000","62,700","64,500","60,200","1,000",원(KRW),"12,739,510","779,658,012,000",
267290,경동도시가스,"42,750","30","0.00","42,750","42,700","6,261","267,423,150","42,650","42,800","42,650","2,500",원(KRW),"4,717,063","201,654,443,250",
012320,경동인베스트,"44,050","-350","0.79","44,050","44,000","1,643","72,032,200","44,400","44,400","43,500","5,000",원(KRW),"2,365,023","104,179,263,150",
011040,경동제약,"23,400","550","2.41","23,400","23,300","29,495","685,207,500","22,950","23,500","22,950","1,000",원(KRW),"13,275,000","310,635,000,000",
